trimestre_dt,data_traffic,voice_traffic,revenue,total_lines,data_traffic_index,revenue_index,nsi,revenue_per_traffic,revenue_per_line,year,quarter
2020-04-01,12510581.99,94171.8,7255.17,237864727.0,1147759815.5963302,85.05404996676464,0.0525953643812014,0.0005799226611359,3.0501243675360077e-05,2020,2
2020-07-01,11542649.15,81317.79000000001,7476.7,242028184.0,1058958637.6146787,87.65109782217496,0.0476913430462296,0.0006477455827373,3.089185679300887e-05,2020,3
2020-10-01,13666808.45,86285.31999999999,7825.02,244920817.0,1253835637.6146789,91.73453441765426,0.0558009262642627,0.0005725564990998,3.194918298839417e-05,2020,4
2021-01-01,14076582.48,86552.78,7322.27,249148296.0,1291429585.3211007,85.8406789158823,0.0564988109732044,0.0005201738426499,2.938920360908268e-05,2021,1
2021-04-01,14283699.78,84883.55,7444.29,251871536.0,1310431172.477064,87.27114783348789,0.0567102579626147,0.0005211737935309,2.9555900274495486e-05,2021,2
2021-07-01,14147325.06,80840.70999999999,7405.53,256398820.0,1297919730.2752292,86.81675531384853,0.0551770287398358,0.0005234579659824,2.8882855233109103e-05,2021,3
2021-10-01,15096154.77,85349.31999999999,7809.91,260079979.0,1384968327.5229356,91.55739636368752,0.0580442786409176,0.0005173443250277,3.0028878155207783e-05,2021,4
2022-01-01,15890653.79,84913.34,7417.97,262734407.0,1457858145.8715596,86.96259233511566,0.060481814968376,0.0004668133922009,2.823372121185483e-05,2022,1
2022-04-01,16091555.85,82809.7,7362.64,263982936.0,1476289527.5229356,86.31394584100718,0.0609568030942727,0.0004575468070727,2.789059062514556e-05,2022,2
2022-07-01,16739913.81,78655.53,7331.94,269062561.0,1535771909.174312,85.9540425811277,0.0622156934349554,0.0004379915024186,2.7249945041592016e-05,2022,3
2022-10-01,18270002.5,74399.48,7683.12,273225452.0,1676147018.3486238,90.07100762361857,0.0668678644916287,0.0004205319621603,2.812007426013884e-05,2022,4
2023-01-01,18746152.59,73459.59,7243.79,275872534.0,1719830512.8440366,84.9206395727116,0.0679522253201183,0.00038641475712,2.6257742642839537e-05,2023,1
2023-04-01,19074172.67,74775.92,7346.56,279324925.0,1749924098.1651373,86.12543625081624,0.0682866832238476,0.0003851574653906,2.630112583042849e-05,2023,2
2023-07-01,19416081.33,71291.51,7369.1,282673531.0,1781291865.1376145,86.38967792761373,0.0686872989533639,0.0003795359050445,2.6069296173330077e-05,2023,3
2023-10-01,20313025.41,74149.38,7625.8,285294798.0,1863580312.8440368,89.39903189540063,0.0712001254575977,0.0003754142894069,2.6729544504348092e-05,2023,4
2024-01-01,20736534.69,73492.61,7296.91,296010094.0,1902434375.2293572,85.54337772140205,0.0700534715211434,0.0003518866632773,2.465088234457302e-05,2024,1
2024-04-01,21155937.53,74612.13,7354.99,292370740.0,1940911699.9999995,86.22426310686782,0.0723599684770096,0.0003476560653277,2.5156381927959e-05,2024,2
2024-07-01,21644918.76,68937.65000000001,7269.86,296639618.0,1985772363.3027525,85.22626426277861,0.07296705310617,0.0003358691284826,2.450738053472008e-05,2024,3
2024-10-01,22773085.37,73684.76,7651.53,300341903.0,2089273887.1559632,89.70067068617257,0.0758238698713978,0.0003359900459548,2.547606552256546e-05,2024,4
2025-01-01,23569831.28,71473.90000000001,7444.75,306745003.0,2162369842.2018347,87.27654052076947,0.076838517496567,0.000315859282638,2.427015901543472e-05,2025,1
2025-04-01,23773713.2,70629.26000000001,7391.89,313112283.0,2181074605.5045867,86.65685041271644,0.0759271178128773,0.000310927028429,2.3607793118738812e-05,2025,2
2025-07-01,24746481.84,64004.94,7382.04,322009026.0,2270319434.8623853,86.54137656549126,0.076850273880211,0.0002983066460812,2.2924947451628267e-05,2025,3
2025-10-01,26905621.92,66841.45,7785.44,332162938.0,2468405680.7339444,91.27052884677384,0.0810012763073525,0.0002893610868073,2.343861734508141e-05,2025,4
